"periode_data","bulan","lokasi_omzet_penjualan","jenis_komoditi","volume","satuan","omzet"
"202101","01","Taman Anggrek Ragunan","Vanda","194","Pot","58200000"
"202101","01","Taman Anggrek Ragunan","oncidium","89","Pot","22250000"
"202101","01","Taman Anggrek Ragunan","Tanaman Hias Lainnya","2095","Pot","523750000"
"202101","01","Penangkar Bibit Ragunan","Pohon sukun","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Nangka Cempeda","5","Pohon","200000"
"202101","01","Penangkar Bibit Ragunan","Nangka Mini","32","Pohon","2400000"
"202101","01","Penangkar Bibit Ragunan","Apel Miki","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Menteng","2","Pohon","120000"
"202101","01","Penangkar Bibit Ragunan","Cermai","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Buni","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Durian Montong","37","Pohon","2775000"
"202101","01","Penangkar Bibit Ragunan","Durian Cane","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Durian Sitokong","57","Pohon","4275000"
"202101","01","Penangkar Bibit Ragunan","Jeruk Kip","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Jeruk Nipis","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Jeruk purut","23","Pohon","1150000"
"202101","01","Penangkar Bibit Ragunan","Jeruk limo","27","Pohon","1350000"
"202101","01","Penangkar Bibit Ragunan","Jeruk limonti","15","Pohon","11250000"
"202101","01","Penangkar Bibit Ragunan","Jeruk Bali","16","Pohon","1280000"
"202101","01","Penangkar Bibit Ragunan","Jeruk sankis","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Jeruk Nagami","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Mangga Manalagi","10","Pohon","1000000"
"202101","01","Penangkar Bibit Ragunan","Mangga gedong gincu","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Mangga harum","62","Pohon","4650000"
"202101","01","Penangkar Bibit Ragunan","Mangga indra mayu","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Mangga ciojao","12","Pohon","900000"
"202101","01","Penangkar Bibit Ragunan","Mangga okiong","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Mangga Cokanan","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Mangga Erwin","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","Belimbing Dewi","6","Pohon","300000"
"202101","01","Penangkar Bibit Ragunan","belimbing dewa","4","Pohon","200000"
"202101","01","Penangkar Bibit Ragunan","belimbing wuluh","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","belimbing diamond","0","Pohon","0"
"202101","01","Penangkar Bibit Ragunan","klengkeng pingpong","12","Pohon","1200000"
